name,location,location,rate,votes,cost,cuisines,lat,lon
Hotel Gowdru Mane,Yeshwantpur,Malleshwaram,3.1,112,400.0,"South Indian, Biryani",12.982332221033998,77.65477316398704
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley,Indiranagar,MG Road,3.9,87,450.0,"Cafe, Fast Food, Chinese",12.952688681497508,77.55423268417826
New Punjabi Hotel,BTM,Koramangala 7th Block,3.7,181,400.0,"North Indian, Chinese",12.934572104997745,77.58129296528358
Saara's Cafe - SS Lumina Hotel,Koramangala 7th Block,Koramangala 6th Block,4.2,117,800.0,"North Indian, South Indian, Chinese, Arabian",13.079426093262187,77.61101424584591
Smoor,Bannerghatta Road,JP Nagar,3.6,17,900.0,"Desserts, Cafe, Beverages",13.069431491400621,77.58409106650494
Dhaba Express,HSR,Koramangala 4th Block,3.7,175,400.0,"Biryani, Fast Food, North Indian, Chinese",12.981519666766436,77.61785069964237
Om Made Cafe,Koramangala 5th Block,Koramangala 6th Block,4.1,2737,1300.0,"Cafe, Continental, European, Juices",12.902545456337984,77.68139284587
Chaatimes,BTM,JP Nagar,4.2,9,250.0,"Street Food, Fast Food",13.05572027174011,77.53124482673695
Jai Bhavani Dhaba,Nagawara,Kalyan Nagar,3.0,52,300.0,"North Indian, Chinese, Seafood",13.05485211368649,77.61017731224455
Chocoberry,Jayanagar,JP Nagar,3.5,56,400.0,"Ice Cream, Desserts, Beverages",12.912954439905041,77.63069186423277
Haji Ali Juice Centre,MG Road,Residency Road,3.8,23,350.0,"Beverages, Cafe, Juices, Fast Food",12.91668486844223,77.6951408073237
Grand Gowdru Hotel,Koramangala 6th Block,Koramangala 4th Block,3.4,31,700.0,"South Indian, North Indian, Chinese",13.051355961395707,77.51444560427124
Habib's Biryani,Indiranagar,MG Road,3.6,11,400.0,Biryani,13.022367010919837,77.50266973446915
Nando's,Indiranagar,Indiranagar,4.3,1210,1200.0,"Portuguese, African",12.960131128112149,77.61510630324074
Filmy Kitchen,Bellandur,Sarjapur Road,3.7,182,400.0,"North Indian, South Indian, Italian, Chinese, Fast Food",13.016149755261397,77.54913043052612
The Punjabi Rasoi,Sarjapur Road,Bellandur,3.7,194,800.0,North Indian,12.959983822301398,77.60935108934603
Fattoush,BTM,Koramangala 5th Block,4.2,1294,900.0,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",13.032762021050056,77.55279834943973
Sherlock's Cafe,Frazer Town,Frazer Town,3.7,40,350.0,"Cafe, Fast Food",12.937580717759683,77.64676612756692
The Duke of Juices,HSR,BTM,2.8,5,200.0,"Juices, Beverages, Salad",12.953137112973252,77.58803795942234
Chichaba's Taj,Kalyan Nagar,Kalyan Nagar,3.8,289,600.0,"Biryani, North Indian, Mughlai",12.920660095562656,77.61963698294534
Tastie's,Basaveshwara Nagar,Rajajinagar,3.2,10,150.0,"Fast Food, Beverages, Ice Cream",13.030617450191276,77.65368890847701
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Indiranagar,Indiranagar,3.1,54,500.0,Continental,12.918892485160217,77.64082922732902
Paradox Rest-O-Cafe,Kalyan Nagar,Kammanahalli,3.7,124,600.0,"Continental, Steak",12.924575115978831,77.68146223139733
Masale Daan,Richmond Road,Lavelle Road,3.2,5,350.0,North Indian,13.040037344202386,77.61333985721194
Mist n Creams,Bannerghatta Road,JP Nagar,3.7,15,400.0,Ice Cream,12.993715960875027,77.51729572087122
Flavour of China,BTM,JP Nagar,3.8,254,550.0,Chinese,12.93453130716648,77.50231281773854
Arya Bhavan Sweets,Vasanth Nagar,Lavelle Road,3.2,9,300.0,"Mithai, Street Food, North Indian",13.012516210752933,77.53445734767843
Crunchie Corner,Brookefield,Whitefield,4.0,46,450.0,"Fast Food, Continental, Desserts",13.098412657907826,77.6425919872009
Annabell,Indiranagar,MG Road,4.0,268,800.0,"Fast Food, Burger, Beverages",12.962198940402391,77.64115714072153
BTM Bawarchi Biryani,BTM,Koramangala 4th Block,3.6,132,600.0,"Biryani, North Indian, Chinese",12.94388312771138,77.58399652161472
The Rasoiya Street,HSR,BTM,4.1,1318,800.0,"North Indian, Continental, Mediterranean, Chinese",12.97875102831308,77.65834615667168
Thai Chy,Indiranagar,MG Road,4.3,442,1200.0,"Thai, Asian, Indonesian",13.07381516301354,77.57962444440749
Tandoori Knight,Banashankari,Basavanagudi,3.0,290,450.0,"North Indian, Chinese, Biryani, Kebab",12.946389419223195,77.60143211818517
Venkateshwara Foods,Residency Road,Residency Road,3.0,13,400.0,"Street Food, South Indian",13.056262525685721,77.60589938652964
Lemon Rice,Ulsoor,Brigade Road,3.4,12,100.0,South Indian,12.996636172662734,77.51805055233665
YumYumSouth,Indiranagar,Old Airport Road,3.0,40,600.0,South Indian,13.064078670599798,77.61061214680112
Cool Joint,Jayanagar,Basavanagudi,4.2,820,250.0,"Beverages, Desserts",13.07533015236564,77.5600361475238
Polar Bear,Basavanagudi,Banashankari,3.8,71,400.0,"Ice Cream, Desserts, Beverages, Sandwich",13.042648957444598,77.53845853356546
Cakewala,Jayanagar,Basavanagudi,4.3,659,500.0,"Bakery, Desserts",13.062597147743219,77.53094137637252
Biggies Burger 'n' More,Kumaraswamy Layout,Banashankari,3.6,58,650.0,"Cafe, Burger, Beverages",13.005930115671202,77.62782813119588
Earth Plate Express,JP Nagar,JP Nagar,3.9,33,600.0,"Italian, Continental",12.991396071925601,77.69071197634659
Napoli Italian Bistro,HSR,HSR,4.1,1059,1200.0,"Italian, Mexican, Continental, Pizza",12.9807622010495,77.58920234968683
Hungry Hippie,Koramangala 5th Block,BTM,4.3,1463,800.0,"Cafe, Continental, Italian, Burger",13.015118685728016,77.50148242529522
Udupi Savi Thindi,Sarjapur Road,HSR,3.5,15,300.0,"South Indian, North Indian, Chinese",12.954995838394728,77.69744476882092
Just Shawarma,Bannerghatta Road,Bannerghatta Road,3.6,137,300.0,Arabian,12.999688439785812,77.57223268045422
Soham Bombay Masti Magic,Old Madras Road,Kammanahalli,3.6,16,150.0,Street Food,13.066306994489375,77.57945338039816
No 10 Fort Cochin,Residency Road,Residency Road,3.4,6,500.0,"South Indian, Seafood, Kerala, Biryani",13.070745727592877,77.6947522646708
Totus,BTM,Koramangala 5th Block,3.7,16,300.0,Chinese,12.978682715270084,77.54343393139892
The 90s Hash House,BTM,Jayanagar,3.8,63,500.0,Cafe,12.923731140639251,77.67085136053089
Food Geek,Basavanagudi,Banashankari,3.8,25,350.0,"Sandwich, Fast Food, Rolls",13.042919184540013,77.50573711472796
Maggi N Maggi House,Bannerghatta Road,JP Nagar,3.4,22,300.0,Fast Food,12.972458599663298,77.59856741180765
The Food Cottage,BTM,Koramangala 6th Block,3.7,49,350.0,"Hyderabadi, North Indian",12.991095630319021,77.63257718885662
Punjabi Dhaba,Ejipura,Koramangala 5th Block,3.4,356,350.0,North Indian,13.061623750997065,77.55584965107049
The Culinarium,Vasanth Nagar,Lavelle Road,4.0,31,1100.0,"Cafe, Desserts, Beverages",13.084057188927284,77.52237975417671
Aramane Donne Biriyani,BTM,Bannerghatta Road,3.9,189,300.0,"Biryani, Fast Food",12.92395242636385,77.50195757774124
Zhang's - Chinese Restaurant,JP Nagar,BTM,4.1,588,700.0,"Chinese, Momos",12.986567984211435,77.57844305715587
Rescafe,Residency Road,Lavelle Road,3.8,41,100.0,Beverages,13.085294240911931,77.67797203748306
Bengaluru Baking Company - JW Marriott Bengaluru,Lavelle Road,Lavelle Road,4.3,526,1400.0,"Salad, Bakery, Cafe, Sandwich, Italian, Burger",12.942282603155181,77.5642840482314
Al Khwaja,Bellandur,Sarjapur Road,3.0,13,400.0,"North Indian, Chinese",13.018710017900867,77.58908074309633
Eat Well,JP Nagar,Koramangala 7th Block,2.9,22,400.0,"North Indian, Chinese",12.938578748736276,77.55494175359463
Davanagere Bene Dosa Hotel,Rajajinagar,Malleshwaram,3.3,4,100.0,South Indian,12.918845617788174,77.65950340902069
Sandesh,Hennur,Kalyan Nagar,3.1,16,400.0,"Mithai, Street Food",13.03893440072884,77.52227664635735
Cake Yard,Basavanagudi,Banashankari,3.4,30,250.0,Desserts,12.967805958209741,77.57836015418494
Anand Sweets and Savouries,Jayanagar,Jayanagar,3.9,84,400.0,"Mithai, Street Food",13.020581762284937,77.63063263379382
Infinitea Tea Room & Tea Store,Cunningham Road,Brigade Road,4.3,858,1000.0,"Continental, Cafe, Desserts, Salad, Momos",12.996178029320602,77.64493335393344
The Krishna Grand,New BEL Road,New BEL Road,3.8,23,400.0,"North Indian, South Indian",12.913434567379003,77.54403444938768
Jiyo Natural,South Bangalore,Koramangala 5th Block,3.6,14,300.0,"Healthy Food, North Indian",12.96420396211018,77.625911028388
Smoke - The Sizzler House,Bannerghatta Road,Jayanagar,3.8,94,1100.0,"Continental, Chinese, Thai, Italian, BBQ, Steak",13.000505925340331,77.59931335018287
Gilly's Restobar,Koramangala 5th Block,Koramangala 5th Block,4.5,3915,1000.0,"Finger Food, Continental, North Indian",12.990124682914026,77.50263601726118
Kabab Korner,St. Marks Road,Lavelle Road,3.9,206,500.0,"North Indian, Chinese, Fast Food",13.014614131703386,77.51640002958192
Krazzy Folds,Jayanagar,Koramangala 7th Block,4.3,1922,800.0,"Cafe, Continental, Sandwich, Beverages",13.057579262608945,77.59198974973178
Lassi Corner,Bellandur,Bellandur,3.2,9,300.0,"Beverages, Desserts",12.903823218885954,77.64633983799095
New Shanthi Sagar,"Varthur Main Road, Whitefield",Marathahalli,3.8,16,300.0,"South Indian, North Indian, Chinese, Street Food",13.071478033917437,77.55557167441356
Karavali Fish Center,Banashankari,Banashankari,3.4,10,300.0,"Mangalorean, Chinese",12.928598336410568,77.56679988399
Funky Punjab,BTM,Koramangala 6th Block,3.8,127,400.0,"North Indian, Chinese",12.918821593747513,77.65200523910833
Royal Bengal Corner,Electronic City,Electronic City,3.8,307,250.0,"Chinese, Fast Food, North Indian, Rolls",13.058932578479578,77.54289679157407
Dessi Cuppa,BTM,JP Nagar,3.4,5,300.0,"Beverages, Fast Food",13.056740597752194,77.6710478115046
Cafe Grill,Jeevan Bhima Nagar,Old Airport Road,4.1,506,300.0,"Chinese, North Indian, Rolls",12.92990126197476,77.62589521028472
Cucumber Town,BTM,Bannerghatta Road,4.2,306,600.0,"Kerala, North Indian",13.024014551185703,77.59058026008799
The Bier Library,Koramangala 6th Block,Koramangala 6th Block,4.3,576,2000.0,"Continental, North Indian, Pizza, BBQ",13.096092327021966,77.53767918919942
Warm Oven,BTM,JP Nagar,3.9,34,500.0,"Bakery, Desserts",13.04455240656794,77.56956848638703
Northam's Pizza.Pita,HSR,Koramangala 4th Block,4.1,673,450.0,"Italian, Pizza",12.978588887874672,77.53027561121209
Pizza Hut,Malleshwaram,Malleshwaram,2.8,340,750.0,"Pizza, Fast Food",12.924548189291796,77.59287071778499
The Belgian Waffle Co.,Residency Road,Frazer Town,3.7,73,350.0,"Desserts, Beverages",13.088079406789108,77.57134835780919
Kinpeetos,Koramangala 5th Block,Koramangala 5th Block,3.9,64,300.0,"Lebanese, Greek",12.958381922758068,77.58182634355163
Sree Abhiruchi,Thippasandra,Old Airport Road,3.4,6,400.0,"Andhra, Biryani",13.045180692852979,77.58609307545996
Sri Ganesh Juice Junction,Koramangala 8th Block,Koramangala 6th Block,4.1,212,150.0,"Beverages, Juices, Fast Food",13.06572998199252,77.57517682810824
Samosa Express,BTM,JP Nagar,3.1,9,150.0,Street Food,13.00710517653912,77.52124281862613
The Open Box,St. Marks Road,Brigade Road,4.2,2270,1400.0,"European, North Indian, Mediterranean, Asian, Salad",12.983666772820456,77.50142550056573
KC Das - Sweet Sensation,Whitefield,Whitefield,2.9,31,200.0,"Mithai, Street Food",12.992974488783874,77.54811507494092
Gilly's Restobar,New BEL Road,Malleshwaram,4.5,2713,1200.0,"Continental, Finger Food, North Indian, Chinese",13.038672487340225,77.60500995019763
No 10 Fort Cochin,St. Marks Road,Brigade Road,3.8,194,800.0,"Biryani, Kerala, Seafood, South Indian",13.056073100601376,77.61591329919078
Kirthi's Biryani,Banashankari,JP Nagar,3.8,145,700.0,"Chinese, Cafe, Italian",13.04293748988699,77.63934565888711
Vintage Shack,HSR,HSR,3.9,161,900.0,"North Indian, Continental",12.910786516568175,77.58169766091598
Kesar Sweet Shop and Fast Food,Brookefield,Marathahalli,4.1,1143,500.0,"North Indian, South Indian, Chinese, Street Food, Mithai",12.900596026156467,77.57719840144402
H3O,Koramangala 4th Block,Koramangala 7th Block,3.3,4,1000.0,"North Indian, Chinese",13.066498474011228,77.59903726095162
Lazer Castle,Indiranagar,Old Airport Road,3.0,28,300.0,Fast Food,13.03938872516794,77.5721122530778
Kapoor's Cafe,Jayanagar,Basavanagudi,4.2,150,800.0,North Indian,12.951962641749008,77.685973296793
Kritunga Restaurant,Koramangala 5th Block,Koramangala 6th Block,3.8,1162,650.0,"Andhra, Biryani, North Indian, Chinese",12.910693144825126,77.59522799711809
RS Shiv Sagar,Malleshwaram,Rajajinagar,4.2,613,500.0,"Chinese, North Indian, South Indian, Street Food, Fast Food",12.95179296658004,77.66450544770315
Straight From The Heart,Koramangala 6th Block,Koramangala 6th Block,3.4,5,300.0,"Bakery, Desserts",13.017094005804578,77.65328080321932
Flavorsome Bakes,Bannerghatta Road,Bannerghatta Road,4.0,93,800.0,"Bakery, Desserts",13.087813539702578,77.68024267195086
Momo Mania,Brookefield,Brookefield,3.9,26,300.0,"Momos, Fast Food",12.910258769796243,77.56471676264724
Fatima Bakery,Richmond Road,Church Street,3.7,14,300.0,"Bakery, Fast Food",12.924231092252198,77.68642792628317
DinePost9,Koramangala 1st Block,Koramangala 5th Block,3.9,226,450.0,"North Indian, South Indian, Chinese, Continental",12.9015082185432,77.51001721828358
M.M.A. Kabab's & Biriyani Center,Brookefield,Marathahalli,3.3,802,400.0,"Arabian, Mughlai, Chinese, Kebab, Fast Food",12.97995754950845,77.62756199689716
Ghar Ki Rasoi,Bellandur,Bellandur,3.7,50,500.0,North Indian,12.988088270062486,77.57533262780052
Soundarya Military Hotel,Rajajinagar,Malleshwaram,3.8,27,200.0,South Indian,13.02188302073162,77.64600725910499
Puran da Dhaba - The Pride Hotel,Richmond Road,Lavelle Road,4.0,167,1700.0,North Indian,12.970169564810437,77.50247338177903
Chriz Cafe,Sarjapur Road,Sarjapur Road,3.5,11,400.0,"South Indian, Biryani",12.920835614501602,77.64975281602756
Paradise,JP Nagar,JP Nagar,4.0,1986,800.0,"Biryani, North Indian, Kebab",12.91034417651093,77.64491814364219
Garden Fresh,BTM,BTM,3.9,51,200.0,"Healthy Food, Juices",12.929701356328737,77.63838904717952
The Beer Cafe,Koramangala 4th Block,Koramangala 4th Block,4.2,1176,1300.0,"Finger Food, Chinese, Italian, Burger",13.039719657345408,77.57176688878052
Kartik's Mithai Shoppe,Indiranagar,Indiranagar,4.1,110,150.0,"Mithai, Street Food",12.972626518051893,77.56190761441766
Loyal Food,Indiranagar,Indiranagar,3.2,16,500.0,Continental,12.976620286718116,77.69066177265344
Chai Point,Koramangala 6th Block,Koramangala 7th Block,4.0,293,250.0,"Tea, Fast Food, Beverages, Sandwich",13.08231462802754,77.64021099285473
NV Patisserie,Koramangala 1st Block,Koramangala 4th Block,3.6,10,350.0,"Desserts, Bakery",13.041507697922935,77.63045246511973
The Grilled & Fried,Whitefield,Brookefield,3.2,126,300.0,Fast Food,12.935379390164798,77.54156576085863
Empire Restaurant,Jayanagar,Jayanagar,4.4,4892,750.0,"North Indian, Mughlai, South Indian, Chinese",12.914593666585137,77.59871524021145
Sulemani Chichas,Koramangala 5th Block,Koramangala 6th Block,4.1,363,400.0,"Biryani, Hyderabadi, Kebab",13.097820402907864,77.6245967010274
Meghana Foods,Residency Road,MG Road,4.3,2157,600.0,"Biryani, Andhra, North Indian, Seafood",13.062819401393448,77.69279550508799
Tarbouche,Koramangala 5th Block,BTM,4.0,265,300.0,"Turkish, Rolls",12.960193263926325,77.63460016668209
B-hive,Koramangala 1st Block,Koramangala 5th Block,4.3,1551,1200.0,"Finger Food, North Indian",12.909782365055698,77.59017792301897
Mint Spice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Restaurant,Bellandur,Sarjapur Road,3.0,12,500.0,"North Indian, Chinese",13.062709762487653,77.58756380178187
Sangam Sweets,HSR,Koramangala 4th Block,3.9,148,200.0,"Mithai, Street Food",12.981036420760192,77.61463861931892
Kabab Souq,Thippasandra,Old Airport Road,3.8,315,400.0,"North Indian, Chinese, Arabian, BBQ, Middle Eastern",12.95668917190109,77.69252447280745
Brownie Heaven,Cunningham Road,Brigade Road,4.2,33,300.0,"Desserts, Fast Food",12.918525096610274,77.66282607289216
Pockets and Bowls,Koramangala 3rd Block,Koramangala 6th Block,3.3,5,500.0,"Continental, Asian, North Indian",13.001279340930491,77.50235436255126
Mangalore pearl - Seafood Restaurant,Frazer Town,Church Street,4.3,1379,700.0,"Mangalorean, Seafood",12.994890635968904,77.6705607966553
Eagles Pizza,Koramangala 7th Block,Koramangala 5th Block,3.8,19,400.0,"Pizza, Italian",12.972600289996512,77.51744694043377
Jayanthi Sagar,Koramangala 5th Block,BTM,3.1,21,200.0,"South Indian, North Indian, Chinese",12.95171145272805,77.60216602242625
Hyderabad Bawarchi,Jayanagar,Koramangala 5th Block,3.9,118,800.0,"North Indian, Biryani, Chinese",12.903744942758879,77.66347607910402
Windy- Taste Of Home,Whitefield,Whitefield,3.6,112,300.0,North Indian,12.955756549174627,77.65659265020216
Homemade Food,Indiranagar,Old Airport Road,3.8,24,200.0,South Indian,12.920335379286199,77.5383038396827
Richie Rich,JP Nagar,JP Nagar,3.1,14,250.0,"Desserts, Ice Cream, Beverages",13.070447304995183,77.65112385404248
Paratha Plaza,Koramangala 5th Block,Koramangala 6th Block,3.9,41,250.0,North Indian,12.96557774372743,77.56731520834748
Sri Ganesh Juice Corner,Koramangala 5th Block,BTM,3.0,9,150.0,"Juices, Fast Food",13.0545680166853,77.54617351316024
Krispy Kreme,HSR,HSR,3.9,150,300.0,"Desserts, Beverages",13.086388827930874,77.50556319911955
Desi Vdesi,BTM,Jayanagar,3.8,50,250.0,"Fast Food, North Indian, Rolls",12.910349095933821,77.64792130658932
Mainland China,Jayanagar,JP Nagar,4.3,885,1700.0,"Chinese, Momos",12.920215298474348,77.5101258505729
Sri Udupi Park,Residency Road,Residency Road,3.8,106,200.0,"South Indian, Chinese",13.023295824007599,77.6171638434319
Gurukrupa Paratha House,Domlur,Koramangala 4th Block,3.1,332,500.0,"North Indian, Chinese",13.065610994593854,77.52907673099017
Yo! Chow,Marathahalli,Brookefield,4.4,1777,800.0,"Chinese, Momos",13.038211162547853,77.62017406041713
Goli Vada Pav No. 1,Ulsoor,MG Road,3.5,34,200.0,Street Food,12.9860328905029,77.50882157069397
McDonald's,Kammanahalli,Kammanahalli,2.9,217,500.0,"Burger, Fast Food",13.051734776937357,77.64212406079282
Kava Bar - Fairfield By Marriott,Rajajinagar,Rajajinagar,3.4,10,1800.0,"North Indian, South Indian, Continental",12.93080057470646,77.64663095379962
Sang Grail,JP Nagar,JP Nagar,3.6,34,300.0,Healthy Food,13.04438191479846,77.6858219991608
KFC,HSR,HSR,3.6,622,400.0,"Burger, Fast Food",12.995131006184984,77.66607777320615
Chef Master,Jayanagar,BTM,3.8,75,300.0,"Kerala, North Indian, Chinese",13.082224100278392,77.57080594425238
Chichaba's Taj,Frazer Town,Brigade Road,3.9,442,600.0,"Biryani, North Indian, Mughlai",13.03454059884178,77.6450955378205
Hotboxit,Banashankari,Basavanagudi,3.8,36,400.0,"North Indian, Continental, Italian",12.934821867066818,77.53256207759597
Asha Sweets Center,Indiranagar,Indiranagar,4.1,57,200.0,"Mithai, Street Food",13.06709723112866,77.6763287510362
Fitnest,BTM,Koramangala 5th Block,3.2,16,350.0,"Healthy Food, North Indian",13.05888824018428,77.61471727241964
Sri Krishna Sagar,JP Nagar,Jayanagar,3.1,54,300.0,"South Indian, North Indian, Chinese, Street Food",12.959575266304558,77.60785107205803
Savi Sagar,Malleshwaram,Rajajinagar,3.8,136,450.0,"North Indian, South Indian, Chinese, Street Food, Beverages",12.984023304391888,77.57247505047694
Elegant Dining,Bannerghatta Road,Bannerghatta Road,3.6,225,700.0,"Biryani, North Indian, Chinese",12.924859444697109,77.55204378646498
Calcutta Chats,Vasanth Nagar,Frazer Town,3.6,13,200.0,North Indian,12.904885376588126,77.62698670806209
Hotel Kadamba Veg,Rajajinagar,Malleshwaram,3.8,328,450.0,"South Indian, North Indian, Chinese, Street Food, Juices",13.051109545168272,77.58524492033874
Warm Oven,BTM,BTM,3.9,38,500.0,"Bakery, Desserts",12.947344095170767,77.67777037154488
Platter,Residency Road,Residency Road,2.9,26,300.0,"Street Food, Juices",13.093423265502048,77.66374107998392
Cashmere Nites,Koramangala 6th Block,Koramangala 4th Block,3.5,74,600.0,Kashmiri,12.994387585711292,77.58105380160403
Pizza Hut,Frazer Town,Frazer Town,3.3,302,750.0,"Pizza, Fast Food",12.968795927263274,77.55419564279174
Yomama!!,Brigade Road,Church Street,3.6,7,800.0,"Continental, Burger, Cafe, Steak",12.948624906084534,77.61594144781958
Waffle Magic,Koramangala 6th Block,Koramangala 7th Block,4.1,87,700.0,"Cafe, Desserts",12.992853380485222,77.50279110630464
Deja Vu Resto Bar,Bannerghatta Road,Jayanagar,4.4,2499,900.0,"North Indian, Italian",13.036234510087901,77.54643907570365
Punjabi Dhaba,Ejipura,Koramangala 4th Block,3.4,355,350.0,North Indian,12.939710480707419,77.57959855750849
Ghee Positive,Koramangala 8th Block,Koramangala 4th Block,3.8,48,300.0,"North Indian, Chinese",13.000204114403125,77.6866568283102
Jodhpur Sweets,Electronic City,Electronic City,3.8,29,100.0,"Desserts, Street Food",12.999433456143537,77.63649020372571
Udupi Delux,Brookefield,Brookefield,2.6,140,400.0,"South Indian, North Indian, Chinese",12.981549621000546,77.55568932213725
Chai Galli,Brookefield,Whitefield,4.1,826,300.0,"Cafe, Street Food",13.027180083883144,77.67607410399923
Koshy's,St. Marks Road,Lavelle Road,3.9,2328,700.0,"South Indian, North Indian, Chinese, Beverages",13.083410318408076,77.62195574535144
Jayanagara Donne Biryani,Jayanagar,Koramangala 7th Block,3.6,62,400.0,"Biryani, South Indian",13.058572997420494,77.50296748270095
Burger King,Koramangala 7th Block,Koramangala 4th Block,3.9,1047,600.0,"Burger, Fast Food, Beverages",13.037856816350192,77.69440363463029
YumYumDilli,Indiranagar,Brigade Road,3.6,51,500.0,North Indian,13.016754556102823,77.6790122207698
Bombay Kulfis,Koramangala 5th Block,Koramangala 7th Block,3.9,27,200.0,Ice Cream,12.962516051771953,77.54850489389933
Monsoon - The Park Bangalore,MG Road,Lavelle Road,4.1,274,3000.0,"Italian, North Indian",12.938207095552016,77.54824539089067
Eatato Snack Bar,Brigade Road,Frazer Town,3.3,11,400.0,"North Indian, Fast Food",13.006460872769633,77.67236150919288
Hotel Khaaja,Bannerghatta Road,JP Nagar,3.1,70,250.0,"Biryani, Fast Food",12.977832923302696,77.67890757225123
Box of Biryani,Koramangala 6th Block,Koramangala 6th Block,3.5,9,400.0,"Biryani, North Indian, Kebab",13.035428987465833,77.53768537831135
Nisarga Garden,Infantry Road,Lavelle Road,4.0,90,300.0,"South Indian, Chinese, Street Food, Juices",12.98289950502779,77.54826113693585
Coffee Tea & More,Koramangala 5th Block,Koramangala 7th Block,4.0,64,150.0,"Beverages, Sandwich",12.971577706145139,77.67192908871952
Shan Restaurant,Brigade Road,Indiranagar,3.0,20,400.0,"Kerala, Chinese, South Indian, North Indian",13.000754688744927,77.63194298662296
Lassi Darbar,BTM,Koramangala 6th Block,3.7,13,200.0,"Ice Cream, Juices, Beverages",12.958581135096672,77.60536860718949
Watson's,Ulsoor,MG Road,4.2,1430,1300.0,"Finger Food, North Indian",12.944013542950973,77.63333485056877
Marenahalli Donne Biriyani,JP Nagar,Basavanagudi,3.9,259,300.0,"Biryani, Fast Food",12.927930250951263,77.61929513587901
Mast Biryani - Fresh Indian Kitchen,Bellandur,Bellandur,3.2,4,500.0,"Biryani, North Indian, Mughlai, Fast Food",12.94647686461121,77.5677552690019
Bathinda Junction,Koramangala 5th Block,BTM,4.1,1242,600.0,North Indian,13.049042948538167,77.5651019770441
Midnight Eats,Frazer Town,Church Street,3.0,114,500.0,"North Indian, Chinese",13.06552205226983,77.66498032154543
Chaska Bun,Koramangala 5th Block,Koramangala 5th Block,4.2,166,300.0,Fast Food,13.061956805347663,77.68207942453766
Ambur Biriyani Centre,Bellandur,Bellandur,3.3,6,150.0,Biryani,12.975818809734387,77.54453062855069
Biryani Lakhnawi,Marathahalli,Marathahalli,3.6,13,500.0,"Lucknowi, Biryani",13.068149230937363,77.60508070502436
TGI Fridays,Bannerghatta Road,Bannerghatta Road,3.9,1337,1700.0,"American, Burger, Italian, Steak",12.979248403780533,77.5102864888075
Venkateshwara Foods,Residency Road,Koramangala 5th Block,3.0,13,400.0,"Street Food, South Indian",12.970040385062594,77.55632439365782
Kidilum,Whitefield,Whitefield,3.8,210,350.0,"Kerala, Chinese, North Indian",13.09152189662567,77.53733091311659
Sri Udupi Grand,Shanti Nagar,Residency Road,3.2,9,350.0,"South Indian, North Indian, Chinese",12.979142573991606,77.5265619219101
Natural Ice Cream,St. Marks Road,Lavelle Road,4.2,222,200.0,"Ice Cream, Beverages",12.977948836725394,77.54281498195247
Chichaba's Taj,Basaveshwara Nagar,Rajajinagar,4.1,245,600.0,"Biryani, North Indian, Mughlai",12.92428069996855,77.69537142511666
Annapurna Bengali Restaurant,Whitefield,Whitefield,3.9,50,350.0,Bengali,13.001774548071255,77.66221076408786
Uma Bhai Restaurant,Marathahalli,Brookefield,3.6,26,200.0,Oriya,12.943742777781308,77.56901277323666
Kartik,Banaswadi,Kalyan Nagar,3.4,6,700.0,"Chinese, North Indian",12.918744973211943,77.59512615111252
Cafe Coffee Day,Malleshwaram,Malleshwaram,2.7,20,900.0,"Cafe, Fast Food",12.920509625184929,77.67913675175983
South Treat,Whitefield,Whitefield,3.4,5,400.0,South Indian,13.014665157870137,77.66652714808617
Shanthi Sagar,JP Nagar,JP Nagar,3.6,519,400.0,"South Indian, North Indian, Chinese",13.011443808986009,77.50396700492644
The Sanctuary,Banaswadi,Kammanahalli,3.9,62,450.0,"Cafe, Fast Food",13.058021902453419,77.633616405463
Hotel Fine,Vasanth Nagar,Residency Road,3.5,25,450.0,"North Indian, Chinese",13.039705671416348,77.55898570254277
Gundappa Donne Biryani,Seshadripuram,Rajajinagar,3.8,177,300.0,Biryani,12.987278651885969,77.67106637057134
Sky Lounge Bar - Svenska Design Hotel,Electronic City,Electronic City,4.0,537,1500.0,"North Indian, Pizza, Asian, Italian",12.954941006561429,77.50120153206765
Wimpie Cafe & Restaurant,Bellandur,Sarjapur Road,3.3,4,600.0,"North Indian, Mughlai, Biryani",12.986754680332094,77.65282520787666
Ebony,MG Road,Church Street,4.3,3130,1500.0,"North Indian, South Indian",12.918969838650632,77.63529852268468
Gyani Da Punjabi Dhaba,BTM,Koramangala 5th Block,3.9,1190,500.0,"North Indian, Chinese",12.902437510202349,77.68103428370442
Kawaii,HSR,HSR,3.8,139,500.0,"Desserts, Ice Cream",13.00942552851378,77.64693451382925
Hotel Shreekshetra,Sarjapur Road,Sarjapur Road,3.6,10,300.0,"North Indian, Chinese",13.065163383350873,77.5561807199819
Village Donne Biryani,Koramangala 5th Block,Koramangala 7th Block,3.3,50,300.0,Biryani,13.002177201644933,77.50244484868631
